# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=96000 alt=7 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927175520,586,576,96,-536870169
927175521,586,576,96,-536870169
927175522,586,576,96,-536870169
927175523,586,576,96,-536870169
927175524,586,576,96,-536870169
927175525,586,576,96,-536870169
927175526,586,576,96,-536870169
927175527,586,576,96,-536870169
927175528,586,576,96,-536870169
927175529,586,576,96,-536870169
927175530,586,576,96,-536870169
927175531,586,576,96,-536870169
927175532,586,576,96,-536870169
927175533,586,576,96,-536870169
927175534,586,576,96,-536870169
927175535,586,576,96,-536870169
927175536,586,576,96,-536870169
927175537,586,576,96,-536870169
927175538,586,576,96,-536870169
927175539,586,576,96,-536870169
927175540,586,576,96,-536870169
927175541,586,576,96,-536870169
927175542,586,576,96,-536870169
927175543,586,576,96,-536870169
927175544,586,576,96,-536870169
927175545,586,576,96,-536870169
927175546,586,576,96,-536870169
927175547,586,576,96,-536870169
927175548,586,576,96,-536870169
927175549,586,576,96,-536870169
927175550,586,576,96,-536870169
927175551,586,576,96,-536870169
927175552,586,576,96,-536870169
927175553,586,576,96,-536870169
927175554,586,576,96,-536870169
927175555,586,576,96,-536870169
927175556,586,576,96,-536870169
927175557,586,576,96,-536870169
927175558,586,576,96,-536870169
927175559,586,576,96,-536870169
927175560,586,576,96,-536870169
927175561,586,576,96,-536870169
927175562,586,576,96,-536870169
927175563,586,576,96,-536870169
927175564,586,576,96,-536870169
927175565,586,576,96,-536870169
927175566,586,576,96,-536870169
927175567,586,576,96,-536870169
927175568,586,576,96,-536870169
927175569,586,576,96,-536870169
927175570,586,576,96,-536870169
927175571,586,576,96,-536870169
927175572,586,576,96,-536870169
927175573,586,576,96,-536870169
927175574,586,576,96,-536870169
927175575,586,576,96,-536870169
927175576,586,576,96,-536870169
927175577,586,576,96,-536870169
927175578,586,576,96,-536870169
927175579,586,576,96,-536870169
927175580,586,576,96,-536870169
927175581,586,576,96,-536870169
927175582,586,576,96,-536870169
927175583,586,576,96,-536870169
