# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=48000 alt=3 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
948065270,298,288,48,-536870169
948065271,298,288,48,-536870169
948065272,298,288,48,-536870169
948065273,298,288,48,-536870169
948065274,298,294,49,-536870169
948065275,298,288,48,-536870169
948065276,298,288,48,-536870169
948065277,298,288,48,-536870169
948065278,298,288,48,-536870169
948065279,298,288,48,-536870169
948065280,298,288,48,-536870169
948065281,298,288,48,-536870169
948065282,298,288,48,-536870169
948065283,298,288,48,-536870169
948065284,298,294,49,-536870169
948065285,298,288,48,-536870169
948065286,298,288,48,-536870169
948065287,298,288,48,-536870169
948065288,298,288,48,-536870169
948065289,298,288,48,-536870169
948065290,298,288,48,-536870169
948065291,298,288,48,-536870169
948065292,298,288,48,-536870169
948065293,298,288,48,-536870169
948065294,298,294,49,-536870169
948065295,298,288,48,-536870169
948065296,298,288,48,-536870169
948065297,298,288,48,-536870169
948065298,298,288,48,-536870169
948065299,298,288,48,-536870169
948065300,298,288,48,-536870169
948065301,298,288,48,-536870169
948065302,298,288,48,-536870169
948065303,298,288,48,-536870169
948065304,298,294,49,-536870169
948065305,298,288,48,-536870169
948065306,298,288,48,-536870169
948065307,298,288,48,-536870169
948065308,298,288,48,-536870169
948065309,298,288,48,-536870169
948065310,298,288,48,-536870169
948065311,298,288,48,-536870169
948065312,298,288,48,-536870169
948065313,298,288,48,-536870169
948065314,298,294,49,-536870169
948065315,298,288,48,-536870169
948065316,298,288,48,-536870169
948065317,298,288,48,-536870169
948065318,298,288,48,-536870169
948065319,298,288,48,-536870169
948065320,298,288,48,-536870169
948065321,298,288,48,-536870169
948065322,298,288,48,-536870169
948065323,298,288,48,-536870169
948065324,298,294,49,-536870169
948065325,298,288,48,-536870169
948065326,298,288,48,-536870169
948065327,298,288,48,-536870169
948065328,298,288,48,-536870169
948065329,298,288,48,-536870169
948065330,298,288,48,-536870169
948065331,298,288,48,-536870169
948065332,298,288,48,-536870169
948065333,298,288,48,-536870169
948065334,298,294,49,-536870169
948065335,298,288,48,-536870169
948065336,298,288,48,-536870169
948065337,298,288,48,-536870169
948065338,298,288,48,-536870169
948065339,298,288,48,-536870169
948065340,298,288,48,-536870169
948065341,298,288,48,-536870169
948065342,298,288,48,-536870169
948065343,298,288,48,-536870169
948065344,298,294,49,-536870169
948065345,298,288,48,-536870169
948065346,298,288,48,-536870169
948065347,298,288,48,-536870169
948065348,298,288,48,-536870169
948065349,298,288,48,-536870169
948065350,298,288,48,-536870169
948065351,298,288,48,-536870169
948065352,298,288,48,-536870169
948065353,298,288,48,-536870169
948065354,298,294,49,-536870169
948065355,298,288,48,-536870169
948065356,298,288,48,-536870169
948065357,298,288,48,-536870169
948065358,298,288,48,-536870169
948065359,298,288,48,-536870169
948065360,298,288,48,-536870169
948065361,298,288,48,-536870169
948065362,298,288,48,-536870169
948065363,298,288,48,-536870169
948065364,298,294,49,-536870169
948065365,298,288,48,-536870169
948065366,298,288,48,-536870169
948065367,298,288,48,-536870169
948065368,298,288,48,-536870169
948065369,298,288,48,-536870169
948065370,298,288,48,-536870169
948065371,298,288,48,-536870169
948065372,298,288,48,-536870169
948065373,298,288,48,-536870169
948065374,298,294,49,-536870169
948065375,298,288,48,-536870169
948065376,298,288,48,-536870169
948065377,298,288,48,-536870169
948065378,298,288,48,-536870169
948065379,298,288,48,-536870169
948065380,298,288,48,-536870169
948065381,298,288,48,-536870169
948065382,298,288,48,-536870169
948065383,298,288,48,-536870169
948065384,298,294,49,-536870169
948065385,298,288,48,-536870169
948065386,298,288,48,-536870169
948065387,298,288,48,-536870169
948065388,298,288,48,-536870169
948065389,298,288,48,-536870169
948065390,298,288,48,-536870169
948065391,298,288,48,-536870169
948065392,298,288,48,-536870169
948065393,298,288,48,-536870169
948065394,298,294,49,-536870169
948065395,298,288,48,-536870169
948065396,298,288,48,-536870169
948065397,298,288,48,-536870169
948065398,298,288,48,-536870169
948065399,298,288,48,-536870169
948065400,298,288,48,-536870169
948065401,298,288,48,-536870169
948065402,298,288,48,-536870169
948065403,298,288,48,-536870169
948065404,298,294,49,-536870169
948065405,298,288,48,-536870169
948065406,298,288,48,-536870169
948065407,298,288,48,-536870169
948065408,298,288,48,-536870169
948065409,298,288,48,-536870169
948065410,298,288,48,-536870169
948065411,298,288,48,-536870169
948065412,298,288,48,-536870169
948065413,298,288,48,-536870169
948065414,298,294,49,-536870169
948065415,298,288,48,-536870169
948065416,298,288,48,-536870169
948065417,298,288,48,-536870169
948065418,298,288,48,-536870169
948065419,298,288,48,-536870169
948065420,298,288,48,-536870169
948065421,298,288,48,-536870169
948065422,298,288,48,-536870169
948065423,298,288,48,-536870169
948065424,298,294,49,-536870169
948065425,298,288,48,-536870169
948065426,298,288,48,-536870169
948065427,298,288,48,-536870169
948065428,298,288,48,-536870169
948065429,298,288,48,-536870169
948065430,298,288,48,-536870169
948065431,298,288,48,-536870169
948065432,298,288,48,-536870169
948065433,298,288,48,-536870169
948065434,298,294,49,-536870169
948065435,298,288,48,-536870169
948065436,298,288,48,-536870169
948065437,298,288,48,-536870169
948065438,298,288,48,-536870169
948065439,298,288,48,-536870169
948065440,298,288,48,-536870169
948065441,298,288,48,-536870169
948065442,298,288,48,-536870169
948065443,298,288,48,-536870169
948065444,298,294,49,-536870169
948065445,298,288,48,-536870169
948065446,298,288,48,-536870169
948065447,298,288,48,-536870169
948065448,298,288,48,-536870169
948065449,298,288,48,-536870169
948065450,298,288,48,-536870169
948065451,298,288,48,-536870169
948065452,298,288,48,-536870169
948065453,298,288,48,-536870169
948065454,298,294,49,-536870169
948065455,298,288,48,-536870169
948065456,298,288,48,-536870169
948065457,298,288,48,-536870169
948065458,298,288,48,-536870169
948065459,298,288,48,-536870169
948065460,298,288,48,-536870169
948065461,298,288,48,-536870169
948065462,298,288,48,-536870169
948065463,298,288,48,-536870169
948065464,298,294,49,-536870169
948065465,298,288,48,-536870169
948065466,298,288,48,-536870169
948065467,298,288,48,-536870169
948065468,298,288,48,-536870169
948065469,298,288,48,-536870169
948065470,298,288,48,-536870169
948065471,298,288,48,-536870169
948065472,298,288,48,-536870169
948065473,298,288,48,-536870169
948065474,298,294,49,-536870169
948065475,298,288,48,-536870169
948065476,298,288,48,-536870169
948065477,298,288,48,-536870169
948065478,298,288,48,-536870169
948065479,298,288,48,-536870169
948065480,298,288,48,-536870169
948065481,298,288,48,-536870169
948065482,298,288,48,-536870169
948065483,298,288,48,-536870169
948065484,298,294,49,-536870169
948065485,298,288,48,-536870169
948065486,298,288,48,-536870169
948065487,298,288,48,-536870169
948065488,298,288,48,-536870169
